Kode PT    Nama PT                                             Total   Done   Sisa
073169     STIKES MUHAMMADIYAH BOJONEGORO                         29      0     29 ✗
073182     SEKOLAH TINGGI TEKNOLOGI MUHAMMADIYAH AR FACHRUDD      12      0     12 ✗
081010     UNIVERSITAS MUHAMMADIYAH MATARAM                      345      0    345 ✗
081048     UNIVERSITAS MUHAMMADIYAH BIMA                         125      0    125 ✗
082017     INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH BALI        24      0     24 ✗
082020     INSTITUT TEKNOLOGI SOSIAL DAN KESEHATAN MUHAMMADI      42      0     42 ✗
091004     UNIVERSITAS MUHAMMADIYAH MAKASSAR                     663      0    663 ✗
091024     UNIVERSITAS MUHAMMADIYAH PARE-PARE                    236      0    236 ✗
091032     UNIVERSITAS MUHAMMADIYAH BUTON                        170      0    170 ✗
091036     UNIVERSITAS MUHAMMADIYAH KENDARI                      214      0    214 ✗
091058     UNIVERSITAS MUHAMMADIYAH SIDENRENG RAPPANG            138      0    138 ✗
091059     UNIVERSITAS MUHAMMADIYAH PALOPO                       188      0    188 ✗
091061     UNIVERSITAS MUHAMMADIYAH BULUKUMBA                     91      0     91 ✗
091064     UNIVERSITAS MUHAMMADIYAH SINJAI                       108      0    108 ✗
091065     UNIVERSITAS MUHAMMADIYAH ENREKANG                     106      0    106 ✗
091069     UNIVERSITAS MUHAMMADIYAH BONE                         102      0    102 ✗
091086     UNIVERSITAS MUHAMMADIYAH BARRU                         38      0     38 ✗
091094     UNIVERSITAS MUHAMMADIYAH KOLAKA UTARA                  54      0     54 ✗
092007     INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH POLEWA      49      0     49 ✗
092013     INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH WAKATO      27      0     27 ✗
092017     INSTITUT TEKNOLOGI KESEHATAN DAN SAINS MUHAMMADIY      90      0     90 ✗
092024     INSTITUT SAINS TEKNOLOGI DAN KESEHATAN 'AISYIYAH       23      0     23 ✗
092026     INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH KOLAKA      31      0     31 ✗
092030     INSTITUT TEKNOLOGI SAINS DAN BISNIS MUHAMMADIYAH       28      0     28 ✗
092032     INSTITUT TEKNOLOGI BISNIS DAN KESEHATAN MUHAMMADI      23      0     23 ✗
095022     POLITEKNIK MUHAMMADIYAH MAKASSAR                       68      0     68 ✗
101002     UNIVERSITAS MUHAMMADIYAH SUMATERA BARAT               233      0    233 ✗
101018     UNIVERSITAS MUHAMMADIYAH RIAU                         290      1    289 ~
101031     UNIVERSITAS MUHAMMADIYAH JAMBI                         81      0     81 ✗
101045     UNIVERSITAS MUHAMMADIYAH MUARA BUNGO                   66      0     66 ✗
102011     INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH SAROLA      23      0     23 ✗
103022     STKIP MUHAMMADIYAH SUNGAI PENUH                        56      0     56 ✗
103136     SEKOLAH TINGGI ILMU KOMPUTER MUHAMMADIYAH BATAM        16      0     16 ✗
105012     POLITEKNIK 'AISYIYAH SUMATERA BARAT                    20      0     20 ✗
111009     UNIVERSITAS MUHAMMADIYAH PALANGKA RAYA                247      0    247 ✗
111013     UNIVERSITAS MUHAMMADIYAH PONTIANAK                    143      0    143 ✗
111023     UNIVERSITAS MUHAMMADIYAH BANJARMASIN                  180      0    180 ✗
111024     UNIVERSITAS MUHAMMADIYAH KALIMANTAN TIMUR             276      0    276 ✗
111030     UNIVERSITAS MUHAMMADIYAH BERAU                         98      0     98 ✗
111033     UNIVERSITAS MUHAMMADIYAH SAMPIT                        79      0     79 ✗
112007     INSTITUT SAINS DAN TEKNOLOGI MUHAMMADIYAH TARAKAN      30      0     30 ✗
112010     INSTITUT TEKNOLOGI DAN KESEHATAN MUHAMMADIYAH KAL      47      0     47 ✗
115021     POLITEKNIK AISYIYAH PONTIANAK                          36      0     36 ✗
121005     UNIVERSITAS MUHAMMADIYAH MALUKU UTARA                 218      0    218 ✗
121020     UNIVERSITAS MUHAMMADIYAH MALUKU                        38      0     38 ✗
131004     UNIVERSITAS MUHAMMADIYAH ACEH                         212      0    212 ✗
131014     UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH                99      0     99 ✗
133011     SEKOLAH TINGGI ILMU HUKUM MUHAMMADIYAH TAKENGON         8      0      8 ✗
133031     STIKES MUHAMMADIYAH LHOKSEUMAWE                        62      0     62 ✗
133040     STKIP MUHAMMADIYAH ACEH BARAT DAYA                     17      0     17 ✗
141001     UNIVERSITAS MUHAMMADIYAH SORONG                       225      0    225 ✗
141010     UNIVERSITAS PENDIDIKAN MUHAMMADIYAH SORONG            209      0    209 ✗
141012     UNIVERSITAS MUHAMMADIYAH PAPUA                         61      0     61 ✗
141024     UNIVERSITAS MUHAMMADIYAH PAPUA BARAT                   51      0     51 ✗
151004     UNIVERSITAS MUHAMMADIYAH KUPANG                       105      0    105 ✗
151018     UNIVERSITAS MUHAMMADIYAH MAUMERE                      107      0    107 ✗
153028     STKIP MUHAMMADIYAH KALABAHI                            31      0     31 ✗
161003     UNIVERSITAS MUHAMMADIYAH PALU                         227      0    227 ✗
161008     UNIVERSITAS MUHAMMADIYAH LUWUK                        168      0    168 ✗
161018     UNIVERSITAS MUHAMMADIYAH GORONTALO                    238      0    238 ✗
161026     UNIVERSITAS MUHAMMADIYAH MANADO                        83      0     83 ✗
171018     UNIVERSITAS MUHAMMADIYAH RIAU                          26      0     26 ✗
172025     INSTITUT PENDIDIKAN DAN TEKNOLOGI `AISYIYAH RIAU       20      0     20 ✗
173136     SEKOLAH TINGGI ILMU KOMPUTER MUHAMMADIYAH BATAM        16      0     16 ✗
211009     UNIVERSITAS ISLAM AHMAD DAHLAN                        100      0    100 ✗
212067     INSTITUT AGAMA ISLAM MUHAMMADIYAH KOTAMOBAGU           37      0     37 ✗
212094     INSTITUT STUDI ISLAM MUHAMMADIYAH PACITAN              49      0     49 ✗
212143     INSTITUT AHMAD DAHLAN PROBOLINGGO                      45      0     45 ✗
212174     INSTITUT MUHAMMADIYAH DARUL ARQAM GARUT                42      0     42 ✗
212184     INSTITUT 'AISYIYAH SULAWESI SELATAN                    38      0     38 ✗
213005     STIT MUHAMMADIYAH ACEH BARAT DAYA                      19      0     19 ✗
213025     STAI MUHAMMADIYAH GARUT                                21      0     21 ✗
213226     STAI MUHAMMADIYAH PACIRAN, LAMONGAN                    10      0     10 ✗
213228     STAI MUHAMMADIYAH TULUNGAGUNG                          21      0     21 ✗
213263     STIT MUHAMMADIYAH BANGIL, PASURUAN                      7      0      7 ✗
213264     STIT MUHAMMADIYAH BOJONEGORO                           22      0     22 ✗
213265     STIT MUHAMMADIYAH KEDIRI                               17      0     17 ✗
213266     STIT MUHAMMADIYAH LUMAJANG                              6      0      6 ✗
213269     STIT MUHAMMADIYAH TEMPUREJO NGAWI                      29      0     29 ✗
213378     STIT MUHAMMADIYAH SIBOLGA, TAPANULI TENGAH, SUMAT      15      0     15 ✗
213388     STAI MUHAMMADIYAH (STAIM) BLORA, JAWA TENGAH           22      0     22 ✗
213420     SEKOLAH TINGGI ILMU TARBIYAH MUHAMMADIYAH TANJUNG      17      0     17 ✗
213438     STIT MUHAMMADIYAH PACIRAN                               8      0      8 ✗
213707     SEKOLAH TINGGI ILMU TARBIYAH INTERNASIONAL MUHAMM      19      0     19 ✗




Bisa langsung filter per PT. Contoh scrape UMS saja:


python utils/scrape_pddikti_batch_dosen.py --pt-kode 061008
Atau beberapa PT sekaligus dengan menjalankan paralel di terminal berbeda:


# Terminal 1
python utils/scrape_pddikti_batch_dosen.py --pt-kode 061008 --shard 0 --total-shards 2

# Terminal 2  
python utils/scrape_pddikti_batch_dosen.py --pt-kode 061008 --shard 1 --total-shards 2
